ticker,date,period_ending,estimate,reported,surprise,surprise%
RGA,2021-05-06,2021-03,0.07,-1.24,-1.31,-1871.43
FRPT,2021-05-03,2021-03,-0.02,-0.26,-0.24,-1200
NFE,2021-05-07,2021-03,0.05,-0.21,-0.26,-520
NVCR,2021-04-29,2021-03,0.01,-0.04,-0.05,-500
RUN,2021-05-05,2021-03,-0.03,-0.11,-0.08,-266.67
H,2021-05-04,2021-03,-1.33,-3.57,-2.24,-168.42
PEAK,2021-05-04,2021-03,0.39,-0.23,-0.62,-158.97
KEX,2021-04-29,2021-03,0.11,-0.06,-0.17,-154.55
JBGS,2021-05-04,2021-03,0.31,-0.16,-0.47,-151.61
ADT,2021-05-05,2021-03,0.15,-0.07,-0.22,-146.67
VTR,2021-05-07,2021-03,0.7,-0.15,-0.85,-121.43
COLD,2021-05-06,2021-03,0.31,-0.06,-0.37,-119.35
EXC,2021-05-05,2021-03,0.34,-0.06,-0.4,-117.65
LSXMK,2021-05-07,2021-03,0.27,-0.03,-0.3,-111.11
EPR,2021-05-05,2021-03,0.44,-0.04,-0.48,-109.09
SLG,2021-04-21,2021-03,1.58,-0.11,-1.69,-106.96
SRC,2021-05-05,2021-03,0.73,-0.04,-0.77,-105.48
SBAC,2021-04-26,2021-03,2.45,-0.11,-2.56,-104.49
UDR,2021-04-27,2021-03,0.48,0.01,-0.47,-97.92
ARE,2021-04-26,2021-03,1.85,0.04,-1.81,-97.84
HPP,2021-05-05,2021-03,0.45,0.03,-0.42,-93.33
VNO,2021-05-03,2021-03,0.63,0.06,-0.57,-90.48
RNR,2021-04-28,2021-03,0.74,0.09,-0.65,-87.84
DEI,2021-05-04,2021-03,0.43,0.06,-0.37,-86.05
CONE,2021-04-28,2021-03,0.98,0.15,-0.83,-84.69
CCI,2021-04-21,2021-03,1.61,0.28,-1.33,-82.61
GDDY,2021-05-05,2021-03,0.31,0.06,-0.25,-80.65
ACC,2021-04-19,2021-03,0.56,0.11,-0.45,-80.36
SUI,2021-04-26,2021-03,1.16,0.23,-0.93,-80.17
VST,2021-05-04,2021-03,-2.34,-4.21,-1.87,-79.91
EQR,2021-04-27,2021-03,0.68,0.15,-0.53,-77.94
SPCE,2021-05-10,2021-03,-0.31,-0.55,-0.24,-77.42
HTA,2021-05-06,2021-03,0.43,0.1,-0.33,-76.74
UTHR,2021-05-05,2021-03,2.6,0.61,-1.99,-76.54
WPC,2021-04-30,2021-03,1.21,0.29,-0.92,-76.03
MAA,2021-04-28,2021-03,1.61,0.4,-1.21,-75.16
CPT,2021-04-29,2021-03,1.23,0.31,-0.92,-74.8
CUZ,2021-04-29,2021-03,0.7,0.2,-0.5,-71.43
AMH,2021-05-06,2021-03,0.31,0.09,-0.22,-70.97
DKNG,2021-05-07,2021-03,-0.51,-0.87,-0.36,-70.59
INVH,2021-04-28,2021-03,0.34,0.1,-0.24,-70.59
O,2021-05-03,2021-03,0.85,0.26,-0.59,-69.41
VAC,2021-05-05,2021-03,-0.29,-0.49,-0.2,-68.97
LAMR,2021-05-04,2021-03,1.17,0.38,-0.79,-67.52
DISCA,2021-04-28,2021-03,0.61,0.21,-0.4,-65.57
DISCK,2021-04-28,2021-03,0.61,0.21,-0.4,-65.57
WELL,2021-04-28,2021-03,0.75,0.28,-0.47,-62.67
RARE,2021-05-04,2021-03,-1.25,-2.03,-0.78,-62.4
BXP,2021-04-27,2021-03,1.55,0.59,-0.96,-61.94
COR,2021-04-29,2021-03,1.33,0.51,-0.82,-61.65
PPL,2021-05-06,2021-03,0.71,0.28,-0.43,-60.56
HLT,2021-05-05,2021-03,0.05,0.02,-0.03,-60
HZNP,2021-05-05,2021-03,0.07,0.03,-0.04,-57.14
BYND,2021-05-06,2021-03,-0.27,-0.42,-0.15,-55.56
BRX,2021-05-03,2021-03,0.4,0.18,-0.22,-55
CUBE,2021-04-29,2021-03,0.45,0.21,-0.24,-53.33
STOR,2021-05-06,2021-03,0.45,0.21,-0.24,-53.33
NNN,2021-05-04,2021-03,0.64,0.3,-0.34,-53.13
IRM,2021-05-06,2021-03,0.64,0.32,-0.32,-50
PK,2021-05-06,2021-03,-0.54,-0.81,-0.27,-50
PLUG,2021-06-22,2021-03,-0.08,-0.12,-0.04,-50
SNOW,2021-05-26,2021-04,-0.16,-0.24,-0.08,-50
NRG,2021-05-06,2021-03,1.64,0.84,-0.8,-48.78
PLD,2021-04-19,2021-03,0.94,0.49,-0.45,-47.87
AVB,2021-04-28,2021-03,1.94,1.02,-0.92,-47.42
POST,2021-05-06,2021-03,0.55,0.29,-0.26,-47.27
HST,2021-05-04,2021-03,-0.15,-0.22,-0.07,-46.67
DRE,2021-04-28,2021-03,0.39,0.21,-0.18,-46.15
REXR,2021-04-21,2021-03,0.34,0.19,-0.15,-44.12
STNE,2021-06-01,2021-03,0.16,0.09,-0.07,-43.75
DV,2021-05-25,2021-03,0.07,0.04,-0.03,-42.86
FRT,2021-05-05,2021-03,1.02,0.6,-0.42,-41.18
PLNT,2021-05-06,2021-03,0.17,0.1,-0.07,-41.18
SABR,2021-05-04,2021-03,-0.51,-0.72,-0.21,-41.18
HIW,2021-04-27,2021-03,0.87,0.52,-0.35,-40.23
ELS,2021-04-19,2021-03,0.6,0.36,-0.24,-40
SPG,2021-05-10,2021-03,2.25,1.36,-0.89,-39.56
WMS,2021-05-20,2021-03,0.38,0.23,-0.15,-39.47
LBRDK,2021-05-07,2021-03,1.37,0.83,-0.54,-39.42
EQIX,2021-04-28,2021-03,6.63,4.07,-2.56,-38.61
LSI,2021-05-04,2021-03,1.01,0.63,-0.38,-37.62
AMT,2021-04-29,2021-03,2.32,1.45,-0.87,-37.5
REG,2021-05-06,2021-03,0.75,0.47,-0.28,-37.33
MPW,2021-04-29,2021-03,0.42,0.27,-0.15,-35.71
GLPI,2021-04-29,2021-03,0.83,0.54,-0.29,-34.94
EEFT,2021-04-28,2021-03,0.35,0.23,-0.12,-34.29
IONS,2021-05-05,2021-03,-0.48,-0.64,-0.16,-33.33
SPR,2021-05-05,2021-03,-0.93,-1.22,-0.29,-31.18
BA,2021-04-28,2021-03,-1.17,-1.53,-0.36,-30.77
AL,2021-05-06,2021-03,1.01,0.7,-0.31,-30.69
NBIX,2021-05-05,2021-03,0.47,0.33,-0.14,-29.79
SPLK,2021-06-02,2021-04,-0.72,-0.91,-0.19,-26.39
OSH,2021-05-10,2021-03,-0.23,-0.29,-0.06,-26.09
UHAL,2021-05-26,2021-03,5.07,3.76,-1.31,-25.84
TRIP,2021-05-06,2021-03,-0.31,-0.39,-0.08,-25.81
MRTX,2021-05-06,2021-03,-2.13,-2.67,-0.54,-25.35
HIG,2021-04-22,2021-03,0.75,0.56,-0.19,-25.33
ASH,2021-04-28,2021-03,1.36,1.05,-0.31,-22.79
CZR,2021-05-04,2021-03,-1.69,-2.06,-0.37,-21.89
NOV,2021-04-27,2021-03,-0.23,-0.28,-0.05,-21.74
JWN,2021-05-25,2021-04,-0.53,-0.64,-0.11,-20.75
WYNN,2021-05-10,2021-03,-2,-2.41,-0.41,-20.5
ESS,2021-04-27,2021-03,3.04,2.43,-0.61,-20.07
PSA,2021-04-28,2021-03,2.7,2.21,-0.49,-18.15
PCG,2021-04-29,2021-03,0.28,0.23,-0.05,-17.86
HFC,2021-05-05,2021-03,-0.45,-0.53,-0.08,-17.78
OHI,2021-05-03,2021-03,0.82,0.69,-0.13,-15.85
DAL,2021-04-15,2021-03,-3.08,-3.55,-0.47,-15.26
NVAX,2021-05-10,2021-03,-2.65,-3.05,-0.4,-15.09
MRK,2021-04-29,2021-03,1.63,1.4,-0.23,-14.11
CPB,2021-06-09,2021-04,0.66,0.57,-0.09,-13.64
SGEN,2021-04-29,2021-03,-0.59,-0.67,-0.08,-13.56
WRK,2021-05-05,2021-03,0.62,0.54,-0.08,-12.9
AWI,2021-04-27,2021-03,0.96,0.84,-0.12,-12.5
LLY,2021-04-27,2021-03,2.12,1.87,-0.25,-11.79
LW,2021-04-07,2021-02,0.51,0.45,-0.06,-11.76
COST,2021-03-04,2021-02,2.42,2.14,-0.28,-11.57
PLAN,2021-05-27,2021-04,-0.09,-0.1,-0.01,-11.11
ZNGA,2021-05-05,2021-03,0.09,0.08,-0.01,-11.11
MKL,2021-04-28,2021-03,11.37,10.12,-1.25,-10.99
PRGO,2021-05-11,2021-03,0.56,0.5,-0.06,-10.71
QDEL,2021-05-06,2021-03,4.87,4.38,-0.49,-10.06
VFC,2021-05-21,2021-03,0.3,0.27,-0.03,-10
ARES,2021-04-29,2021-03,0.51,0.46,-0.05,-9.8
CHGG,2021-05-03,2021-03,0.31,0.28,-0.03,-9.68
CHH,2021-05-10,2021-03,0.63,0.57,-0.06,-9.52
AZPN,2021-04-28,2021-03,1.16,1.05,-0.11,-9.48
STE,2021-05-18,2021-03,1.8,1.63,-0.17,-9.44
FSLY,2021-05-05,2021-03,-0.11,-0.12,-0.01,-9.09
EQH,2021-05-05,2021-03,1.23,1.13,-0.1,-8.13
GPK,2021-04-27,2021-03,0.25,0.23,-0.02,-8
CCL,2021-04-07,2021-02,-1.66,-1.79,-0.13,-7.83
UAL,2021-04-19,2021-03,-6.97,-7.5,-0.53,-7.6
AMGN,2021-04-27,2021-03,4,3.7,-0.3,-7.5
